127.0.0.1 - - [27/Feb/2023:22:11:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:11:29 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4025
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:11:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:11:41 +0530] "GET /MedicalProject/service.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:08 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:08 +0530] "GET /MedicalProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:08 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:08 +0530] "GET /MedicalProject/fb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:08 +0530] "GET /MedicalProject/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:17 +0530] "POST /MedicalProject/ViewPage.jsp HTTP/1.1" 200 3594
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:17 +0530] "GET /MedicalProject/1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:17 +0530] "GET /MedicalProject/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:17 +0530] "GET /MedicalProject/home2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/home.jsp HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/nicip.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/Omee-Capsule.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/Dicloplus%20tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/Azee-500-tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/lomo%20tablet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/lipuslide-p.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/OMEE%20syrup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/Zendril.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:23 +0530] "GET /MedicalProject/oflokem.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:28 +0530] "GET /MedicalProject/About.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:28 +0530] "GET /MedicalProject/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:28 +0530] "GET /MedicalProject/syringe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:28 +0530] "GET /MedicalProject/caps.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:33 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4025
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:40 +0530] "GET /MedicalProject/contact.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:40 +0530] "GET /MedicalProject/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:45 +0530] "GET /MedicalProject/Address.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:45 +0530] "GET /MedicalProject/pharmacy6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:22:12:59 +0530] "GET /MedicalProject/services.jsp HTTP/1.1" 200 4025
